account_no,location_name,business_entity,postcode,address_line_1,address_line_2,town_city,logged_by
A500136,HEATHROW WDC HUB,1089.100.,SL3 8AQ,HURRICANE WAY,,SLOUGH,Admin
A5001609,LEEK DO,1122.100.,ST13 5DQ,STRANGMAN STREET,,LEEK,Admin
A5001614,STOKE ON TRENT DO,1124.100.,ST4 2AX,LEEK ROAD,,STOKE ON TRENT,Admin
A5001607,CHEADLE ST DO,1126.100.,ST10 1BA,WELL STREET,,STOKE ON TRENT,Admin
A5001612,STAFFORD DO,1128.100.,ST16 1AA,NEWPORT ROAD,,STAFFORD,Admin
A5001616,UTTOXETER DO,1132.100.,ST14 8HE,13-15 CARTER STREET,,UTTOXETER,Admin
A5001610,LONGTON DO,1135.100.,ST3 4PU,BENGRY ROAD,,STOKE ON TRENT,Admin
A5001608,KIDSGROVE DO,1139.100.,ST7 1YY,CONGLETON ROAD,,STOKE ON TRENT,Admin
A5001425,MILTON KEYNES HUB,114.100.,MK6 4AD,"DUNSBY ROAD,",,MILTON KEYNES,Admin
A5001428,MILTON KEYNES RTW,114.101.,MK6 4AD,"DUNSBY ROAD,",,MILTON KEYNES,Admin
A5001606,BURSLEM DO,1147.100.,ST6 4RG,UNIT 3 SCOTIA BUSINESS PARK,,STOKE ON TRENT,Admin
A5001194,EDINBURGH WEST DO,1172.100.,EH12 9PB,,21 SOUTH GYLE CRESCENT,EDINBURGH,Admin
A5001210,CARDIGAN DO,1173.100.,SA43 1BS,WELLINGTON ROAD,FINCHS SQUARE,CARDIGAN,Admin
A5001221,GORSEINON DO,1178.100.,SA4 9SA,4-5 SANDFORD LANE IND ESTATE,UNIT 4-5 LLWYN Y GRAIG,SWANSEA,Admin
A5001211,CARMARTHEN DO,1184.100.,SA31 2BG,UNITS 19-22 AVON TRADING PARK,STEPHENS WAY,CARMARTHEN,Admin
A5001212,CARMARTHEN RTW,1184.101.,SA31 2BG,3 QUEENS ROAD,STEPHENS WAY,CARMARTHEN,Admin
A5001282,MELKSHAM DO,1193.100.,SN12 6LU,31 CHURCH ST,,MELKSHAM,Admin
A5001213,HAVERFORDWEST DO,1205.100.,SA61 1XT,122 STATION ROAD,MERLINS BRIDGE,HAVERFORDWEST,Admin
A5001215,LLANDYSUL DO,1207.100.,SA44 4JG,27 BOURNEMOUTH ROAD,HOREB,LLANDYSUL,Admin
A5001225,NEATH DO,1216.100.,SA11 1LT,,20 WINDSOR ROAD,NEATH,Admin
A5001227,PORT TALBOT DO,1221.100.,SA13 1AA,,EAGLE STREET,PORT TALBOT,Admin
A5001223,LLANELLI DO,1228.100.,SA15 2SN,29 EAST STREET,OLD CASTLE ROAD,LLANELLI,Admin
A5001224,LLANELLI ST,1228.101.,SA15 2SN,,OLD CASTLE ROAD,LLANELLI,Admin
A5001216,PEMBROKE DOCK DO,1236.100.,SA72 6AJ,1-5 ALDER HILLS,LEWIS STREET,PEMBROKE DOCK,Admin
A5001226,PONTARDAWE DO,1237.100.,SA8 4EL,,ALLOY INDUSTRIAL ESTATE,SWANSEA,Admin
A500114,SWANSEA MC,1242.100.,SA1 1AA,SIEMANS WAY,,SWANSEA,Admin
A5001214,LAMPETER DO,1249.100.,SA48 7DZ,122 STATION ROAD,STATION TERRACE,LAMPETER,Admin
A5001222,LLANDEILO DO,1254.100.,SA19 7HR,10-12 SEAMOOR ROAD,BEECHWOOD INDUSTRIAL ESTATE,LLANDEILO,Admin
A5001243,WESTBURY DO,1290.100.,BA13 4EZ,KINGDOM AVENUE,,WESTBURY,Admin
A5001244,WELLS DO,1291.100.,BA5 2AH,WEST STREET,,WELLS,Admin
A500118,NORTH WEST MIDLANDS MC,1314.100.,WV1 1AA,1 SUN STREET,,WOLVERHAMPTON,Admin
A5001634,CARLTON DO,1320.100.,NG4 3JF,19 WESTDALE LANE,,NOTTINGHAM,Admin
A5001627,CLIFTON NG DO,1321.100.,NG11 8AA,,,,Admin
A5001631,EASTWOOD DO,1322.100.,NG16 3SB,,,,Admin
A5001628,GRANTHAM DO,1323.100.,NG31 6AA,,,,Admin
A5001636,HUCKNALL DO,1324.100.,NG15 7AA,59 HIGH STREET,,NOTTINGHAM,Admin
A5001632,KIRKBY IN ASHFIELD DO,1325.100.,NG17 7AA,,,,Admin
A5001637,LONG EATON DO,1326.100.,NG10 1AA,12 TAMWORTH ROAD,,NOTTINGHAM,Admin
A5001629,NEWARK DO,1328.100.,NG24 4XE,"24 PELHAM STREET,",,NEWARK,Admin
A5001639,NOTTINGHAM SOUTH DO,1329.100.,NG2 3EE,11 CLARKE ROAD,,NOTTINGHAM,Admin
A5001640,NOTTINGHAM CITY DO,1331.100.,NG1 1AA,1 LOWER PARLIAMENT STREET,,NOTTINGHAM,Admin
A5001635,GLAISDALE PARKWAY DO,1332.100.,NG8 4GB,GLAISDALE PARKWAY,,NOTTINGHAM,Admin
A5001625,SLEAFORD AO,1333.101.,NG34 7AA,"STATION ROAD,",,SLEAFORD,Admin
A5001633,SUTTON IN ASHFIELD DO,1335.100.,NG17 1AA,,,,Admin
A5001644,NOTTINGHAM MC,1338.100.,NG9 2RP,PADGE ROAD,,NOTTINGHAM,Admin
A5001641,NOTTINGHAM RTW,1338.101.,NG9 2RP,PADGE ROAD,,NOTTINGHAM,Admin
A5001638,NOTTINGHAM NORTH DO,1339.100.,NG5 6DD,SIR JOHN ROBINSON WAY,,NOTTINGHAM,Admin
A5001528,COVENTRY NATIONAL HUB,1341.100.,CV3 4PF,SISKIN PARKWAY WEST,,COVENTRY,Admin
A5001526,COVENTRY INTERNATIONAL HUB,1341.101.,CV3 4PF,SISKIN PARKWAY WEST,,COVENTRY,Admin
A5001529,COVENTRY NATIONAL RTW,1341.102.,CV3 4PF,SISKIN PARKWAY WEST,,COVENTRY,Admin
A5001518,BRACKLEY DO,1343.100.,NN13 7AA,19 HIGH STREET,,BRACKLEY,Admin
A500145,COALVILLE DO,1347.100.,LE67 3ET,2 ASHBY ROAD,,COALVILLE,Admin
A5001519,CORBY DO,1348.100.,NN17 5ZZ,CRUCIBLE ROAD,,CORBY,Admin
A5001521,DAVENTRY DO,1349.100.,NN11 4GA,VICAR LANE,,DAVENTRY,Admin
A500147,HINCKLEY DO,1351.100.,LE10 1BA,22 STATION ROAD,,HINCKLEY,Admin
A5001544,KETTERING DO,1353.100.,NN16 8AA,"17 LOWER STREET,",,KETTERING,Admin
A500151,LEICESTER NORTH DO,1358.100.,LE4 5HQ,91 LOUGHBOROUGH ROAD,,LEICESTER,Admin
A500148,LUTTERWORTH DO,1363.100.,LE17 4JA,BILTON WAY,,LUTTERWORTH,Admin
A500143,MELTON MOWBRAY DO,1368.100.,LE13 1RL,ACRES RISE,,MELTON MOWBRAY,Admin
A5001522,NORTHAMPTON CROW LANE DO,1373.100.,NN3 9UB,JACKDAW CLOSE,,NORTHAMPTON,Admin
A500144,OAKHAM DO,1375.100.,LE15 6DX,"GRD FLR, BMENT",1ST FLOOR 19-33 MARKET PLACE,OAKHAM,Admin
A500150,WIGSTON DO,1381.100.,LE18 2AL,LONG STREET,,WIGSTON,Admin
A500137,LEICESTER DO,1386.100.,LE19 1TH,CENTURION WAY,,LEICESTER,Admin
A500142,LEICESTER RTW ,1386.101.,LE19 1TH,CENTURION WAY,,LEICESTER,Admin
A5001545,WELLINGBOROUGH DO,1387.100.,NN8 1AQ,"212 MIDLAND ROAD,",,WELLINGBOROUGH,Admin
A500146,EARL SHILTON DO,1389.100.,LE9 7GY,19 OAKS WAY,,LEICESTER,Admin
A5001585,CATERHAM DO,1439.100.,CR3 6XX,"102 GODSTONE ROAD,",,CATERHAM,Admin
